Id,Price
block0,1115000 
block1,420000 
block2,1014000 
block3,1324000 
block4,1300000 
block5,605000 
block6,549000 
block7,2149000 
block8,860000 
block9,995000 
block10,879000 
block11,499000 
block12,875000 
block13,531600 
block14,380000 
block15,345000 
block16,1020000 
block17,260000 
block18,845000 
block19,1837500 
block20,650000 
block21,342000 
block22,1575000 
block23,480000 
block24,2735000 
block25,1090000 
block26,395000 
block27,660000 
block28,820637 
block29,1000000 
block30,985000 
block31,1250000 
block32,6000000 
block33,748000 
block34,965000 
block35,970000 
block36,1530000 
block37,515000 
block38,1800000 
block39,670000 
block40,1800000 
block41,916000 
block42,385000 
block43,800000 
block44,926000 
block45,872500 
block46,645000 
block47,906667 
block48,815000 
block49,3560000 
block50,536000 
block51,275000 
block52,773171 
block53,1140000 
block54,818000 
block55,825000 
block56,1250000 
block57,405000 
block58,2100000 
block59,900000 
block60,1575000 
block61,460000 
block62,422000 
block63,375000 
block64,780000 
block65,820000 
block66,1262000 
block67,770000 
block68,4750000 
block69,940000 
block70,1900000 
block71,205720 
block72,789000 
block73,921000 
block74,1500000 
block75,200000 
block76,1025000 
block77,610000 
block78,92500 
block79,551000 
block80,29000 
block81,625000 
block82,750000 
block83,1810000 
block84,715000 
block85,828000 
block86,911125 
block87,659000 
block88,1053500 
block89,1065000 
block90,799000 
block91,879500 
block92,940000 
block93,695000 
block94,16600000 
block95,620000 
block96,1080000 
block97,550000 
block98,1010000 
block99,231255 
block100,870000 
block101,1050000 
block102,635000 
block103,1222000 
block104,2200000 
block105,270000 
block106,208000 
block107,1195000 
block108,987000 
block109,445000 
block110,1850000 
block111,680000 
block112,498000 
block113,1183000 
block114,820000 
block115,830000 
block116,1044000 
block117,599000 
block118,285500 
block119,1000000 
block120,959330 
block121,550000 
block122,1100000 
block123,1875000 
block124,1267500 
block125,899000 
block126,810000 
block127,1071850 
block128,780000 
block129,526000 
block130,1725000 
block131,427000 
block132,605000 
block133,812000 
block134,1190000 
block135,775000 
block136,750000 
block137,1925000 
block138,2100000 
block139,1450000 
block140,515000 
block141,730000 
block142,916000 
block143,1017500 
block144,975000 
block145,1267000 
block146,712950 
block147,775000 
block148,777600 
block149,703000 
block150,911000 
block151,679000 
block152,2300000 
block153,809900 
block154,1850000 
block155,1245000 
block156,1250000 
block157,949050 
block158,850000 
block159,250000 
block160,905000 
block161,820000 
block162,595000 
block163,1400000 
block164,519500 
block165,1760000 
block166,1225000 
block167,939000 
block168,654800 
block169,1440000 
block170,1650000 
block171,880000 
block172,950000 
block173,1018500 
block174,835000 
block175,1245000 
block176,1450000 
block177,3800000 
block178,818680 
block179,1402000 
block180,805000 
block181,885000 
block182,979000 
block183,1670000 
block184,410000 
block185,823530 
block186,950000 
block187,940000 
block188,1170000 
block189,488000 
block190,575000 
block191,1350000 
block192,840000 
block193,625650 
block194,1680000 
block195,600000 
block196,208000 
block197,1130000 
block198,926000 
block199,890000 
block200,770000 
block201,995000 
block202,879000 
block203,800000 
block204,800000 
block205,1487000 
block206,1260000 
block207,674000 
block208,690000 
block209,911000 
block210,1145000 
block211,969000 
block212,825000 
block213,778000 
block214,867000 
block215,570000 
block216,16600000 
block217,520000 
block218,745000 
block219,820000 
block220,16600000 
block221,461000 
block222,719000 
block223,952000 
block224,460000 
block225,746500 
block226,729000 
block227,1430000 
block228,532000 
block229,980000 
block230,700000 
block231,715000 
block232,805000 
block233,575000 
block234,231481 
block235,880000 
block236,865000 
block237,759000 
block238,665000 
block239,1335000 
block240,940000 
block241,725000 
block242,231600 
block243,900000 
block244,650000 
block245,275000 
block246,630000 
block247,600000 
block248,512000 
block249,485000 
block250,712000 
block251,330000 
block252,705000 
block253,1230500 
block254,608000 
block255,795000 
block256,1251000 
block257,775000 
block258,720000 
block259,965000 
block260,550000 
block261,216700 
block262,1025000 
block263,950000 
block264,930000 
block265,912000 
block266,208000 
block267,1344000 
block268,1900000 
block269,1325000 
block270,1715000 
block271,246465 
block272,1850000 
block273,525000 
block274,689000 
block275,715000 
block276,1300000 
block277,550000 
block278,360000 
block279,1010000 
block280,1405000 
block281,1060000 
block282,850000 
block283,585000 
block284,639000 
block285,350000 
block286,249000 
block287,1575000 
block288,670000 
block289,715000 
block290,788000 
block291,650000 
block292,910000 
block293,1090000 
block294,660000 
block295,315000 
block296,650000 
block297,685000 
block298,660000 
block299,715000 
block300,780000 
block301,535000 
block302,1950000 
block303,764000 
block304,1350000 
block305,208000 
block306,859000 
block307,510000 
block308,342000 
block309,775000 
block310,350000 
block311,620000 
block312,755000 
block313,850000 
block314,895000 
block315,335000 
block316,260000 
block317,1340000 
block318,975000 
block319,850000 
block320,775000 
block321,385000 
block322,1600000 
block323,530000 
block324,849000 
block325,897750 
block326,844000 
block327,855000 
block328,320000 
block329,1277000 
block330,1085000 
block331,841000 
block332,970000 
block333,980000 
block334,670000 
block335,755725 
block336,2288000 
block337,1018500 
block338,1010000 
block339,855000 
block340,585000 
block341,1039000 
block342,938000 
block343,245000 
block344,720000 
block345,1052000 
block346,3541000 
block347,263803 
block348,710000 
block349,910000 
block350,849000 
block351,1475000 
block352,1112500 
block353,695000 
block354,879000 
block355,1275000 
block356,1185000 
block357,550000 
block358,688000 
block359,925000 
block360,29000 
block361,810000 
block362,16600000 
block363,1840000 
block364,655000 
block365,667500 
block366,860000 
block367,618000 
block368,760000 
block369,960000 
block370,2730000 
block371,910000 
block372,970000 
block373,710000 
block374,707000 
block375,2400000 
block376,1370000 
block377,390000 
block378,708500 
block379,102000 
block380,910000 
block381,720000 
block382,900000 
block383,965000 
block384,1339000 
block385,1282000 
block386,710000 
block387,769500 
block388,840000 
block389,285000 
block390,515000 
block391,265000 
block392,1490000 
block393,967000 
block394,290000 
block395,208000 
block396,1070000 
block397,1550000 
block398,1300000 
block399,1339000 
block400,1250000 
block401,859000 
block402,697000 
block403,910000 
block404,1014300 
block405,725000 
block406,835000 
block407,750000 
block408,650000 
block409,927000 
block410,388000 
block411,600000 
block412,784000 
block413,900000 
block414,800000 
block415,487000 
block416,449000 
block417,785000 
block418,1225000 
block419,625000 
block420,865000 
block421,960000 
block422,1050000 
block423,6000000 
block424,699000 
block425,1189000 
block426,926000 
block427,1369000 
block428,825000 
block429,849000 
block430,727000 
block431,1720000 
block432,900000 
block433,845000 
block434,540000 
block435,730000 
block436,945000 
block437,1125000 
block438,1010000 
block439,920000 
block440,899000 
block441,985000 
block442,936000 
block443,231497 
block444,800000 
block445,975000 
block446,699000 
block447,842900 
block448,799000 
block449,1600000 
block450,530000 
block451,930000 
block452,16600000 
block453,489000 
block454,768000 
block455,850000 
block456,1100000 
block457,903000 
block458,1800000 
block459,904500 
block460,850000 
block461,1649000 
block462,539000 
block463,261000 
block464,1650000 
block465,1100000 
block466,715000 
block467,273000 
block468,16600000 
block469,759000 
block470,1088000 
block471,38000 
block472,459000 
block473,1120000 
block474,419000 
block475,1550000 
block476,1164000 
block477,1150000 
block478,945000 
block479,825000 
block480,699000 
block481,679000 
block482,565000 
block483,888000 
block484,1175000 
block485,625000 
block486,714000 
block487,760000 
block488,772000 
block489,700000 
block490,900000 
block491,208000 
block492,880000 
block493,694000 
block494,377000 
block495,916000 
block496,245000 
block497,650000 
block498,1485000 
block499,810000 
block500,470000 
block501,1750000 
block502,254000 
block503,908000 
block504,375000 
block505,840000 
block506,650000 
block507,720000 
block508,700000 
block509,877850 
block510,980000 
block511,2000000 
block512,865000 
block513,1275000 
block514,825000 
block515,519500 
block516,1357000 
block517,2000000 
block518,16600000 
block519,1149000 
block520,852630 
block521,520000 
block522,710000 
block523,1600001 
block524,910000 
block525,815000 
block526,459000 
block527,649000 
block528,470000 
block529,1450000 
block530,1140000 
block531,1650000 
block532,517000 
block533,1880000 
block534,1085000 
block535,790000 
block536,999000 
block537,440000 
block538,890000 
block539,289000 
block540,850000 
block541,700000 
block542,752000 
block543,957000 
block544,1370700 
block545,1085000 
block546,850000 
block547,750000 
block548,488000 
block549,769000 
block550,849000 
block551,1055000 
block552,1250000 
block553,1185000 
block554,1465000 
block555,1400000 
block556,565000 
block557,930000 
block558,939000 
block559,208000 
block560,1050000 
block561,659000 
block562,1500000 
block563,799000 
block564,240000 
block565,939000 
block566,870000 
block567,680000 
block568,1780000 
block569,1975000 
block570,650000 
block571,1100000 
block572,1040000 
block573,975000 
block574,1350000 
block575,790000 
block576,1040000 
block577,519000 
block578,875000 
block579,231255 
block580,3000000 
