Id,Price
block0,945000 
block1,1875000 
block2,517000 
block3,950000 
block4,549000 
block5,795000 
block6,965000 
block7,1100000 
block8,820000 
block9,1400000 
block10,680000 
block11,720000 
block12,1275000 
block13,188000 
block14,336000 
block15,415000 
block16,855000 
block17,744000 
block18,862400 
block19,1200000 
block20,350000 
block21,792500 
block22,1350000 
block23,520000 
block24,1148000 
block25,875000 
block26,365000 
block27,945000 
block28,780000 
block29,1267500 
block30,762000 
block31,1600000 
block32,600000 
block33,730000 
block34,707000 
block35,698000 
block36,987000 
block37,850000 
block38,585000 
block39,780000 
block40,350000 
block41,801000 
block42,599000 
block43,939000 
block44,806000 
block45,660000 
block46,2250000 
block47,715000 
block48,675000 
block49,275000 
block50,1245000 
block51,260000 
block52,1450000 
block53,865000 
block54,850000 
block55,844000 
block56,1030000 
block57,2200000 
block58,850000 
block59,650000 
block60,667128 
block61,1040000 
block62,735000 
block63,1100000 
block64,750000 
block65,495000 
block66,1085800 
block67,750000 
block68,260000 
block69,102000 
block70,965000 
block71,575000 
block72,542000 
block73,1225000 
block74,1243750 
block75,700000 
block76,295000 
block77,450000 
block78,870000 
block79,1105000 
block80,1170000 
block81,1000000 
block82,1120000 
block83,38000 
block84,1070000 
block85,470000 
block86,800000 
block87,895000 
block88,650000 
block89,845000 
block90,850000 
block91,910000 
block92,712000 
block93,641000 
block94,700000 
block95,850000 
block96,655000 
block97,1220000 
block98,1998000 
block99,489000 
block100,770000 
block101,815000 
block102,1050000 
block103,1460000 
block104,315000 
block105,630000 
block106,1715000 
block107,1575000 
block108,940000 
block109,945000 
block110,370000 
block111,905000 
block112,515000 
block113,710000 
block114,1010000 
block115,639000 
block116,910000 
block117,1450000 
block118,725000 
block119,470000 
block120,1600001 
block121,970000 
block122,510000 
block123,1015000 
block124,879500 
block125,660000 
block126,675000 
block127,938000 
block128,805000 
block129,950000 
block130,540000 
block131,1185000 
block132,335000 
block133,1100000 
block134,3225000 
block135,890000 
block136,1600000 
block137,950000 
block138,585000 
block139,911000 
block140,420000 
block141,575000 
block142,1065000 
block143,790000 
block144,1080000 
block145,680000 
block146,1025000 
block147,719000 
block148,445000 
block149,850000 
block150,470000 
block151,1025000 
block152,1250000 
block153,715000 
block154,670000 
block155,750000 
block156,857000 
block157,231600 
block158,1030000 
block159,450000 
block160,377000 
block161,770000 
block162,570000 
block163,778000 
block164,700000 
block165,655000 
block166,710000 
block167,460000 
block168,825000 
block169,550000 
block170,476000 
block171,531600 
block172,825000 
block173,1935000 
block174,440000 
block175,615000 
block176,567500 
block177,450000 
block178,555000 
block179,571000 
block180,461000 
block181,930000 
block182,855000 
block183,811000 
block184,979110 
block185,629000 
block186,940000 
block187,1365000 
block188,650000 
block189,550000 
block190,755000 
block191,342000 
block192,820000 
block193,459000 
block194,1120000 
block195,1078000 
block196,487000 
block197,765000 
block198,845000 
block199,972350 
block200,850000 
block201,1357000 
block202,580000 
block203,1085000 
block204,635000 
block205,1525000 
block206,809900 
block207,430000 
block208,1535525 
block209,1025000 
block210,800000 
block211,880000 
block212,728000 
block213,841000 
block214,1402000 
block215,860000 
block216,595000 
block217,828000 
block218,900000 
block219,708000 
block220,945000 
block221,805000 
block222,445000 
block223,1135000 
block224,1149000 
block225,955000 
block226,750000 
block227,1014000 
block228,890000 
block229,646000 
block230,700000 
block231,1000000 
block232,760000 
block233,750000 
block234,880000 
block235,1030000 
block236,625000 
block237,1300000 
block238,1100000 
block239,488000 
block240,483000 
block241,289000 
block242,1340000 
block243,1010000 
block244,231255 
block245,500000 
block246,902400 
block247,510000 
block248,519000 
block249,715000 
block250,790000 
block251,265000 
block252,226000 
block253,1775000 
block254,775000 
block255,775000 
block256,1150000 
block257,1465000 
block258,1300000 
block259,525000 
block260,2149000 
block261,734500 
block262,803000 
block263,245000 
block264,1300000 
block265,679000 
block266,450000 
block267,695000 
block268,785000 
block269,1050000 
block270,865000 
block271,890000 
block272,550000 
block273,1079000 
block274,530000 
block275,748000 
block276,495500 
block277,590000 
block278,840000 
block279,825000 
block280,725000 
block281,879000 
block282,245000 
block283,208000 
block284,1112500 
block285,420000 
block286,760000 
block287,625000 
block288,870000 
block289,838000 
block290,799000 
block291,1750000 
block292,260000 
block293,849000 
block294,640000 
block295,715000 
block296,505000 
block297,1090000 
block298,760000 
block299,600000 
block300,1650000 
block301,1250000 
block302,1400000 
block303,875000 
block304,985000 
block305,800000 
block306,750000 
block307,1030000 
block308,780000 
block309,889000 
block310,750000 
block311,885000 
block312,1680000 
block313,435000 
block314,965000 
block315,1487000 
block316,735000 
block317,3000000 
block318,635000 
block319,1250000 
block320,775000 
block321,1725000 
block322,380000 
block323,16600000 
block324,263803 
block325,835706 
block326,746500 
block327,470000 
block328,2300000 
block329,1350000 
block330,1530000 
block331,459000 
block332,730000 
block333,1575000 
block334,780000 
block335,205720 
block336,835000 
block337,6000000 
block338,512000 
block339,874000 
block340,119000 
block341,645000 
block342,825000 
